Checked,helix,beta,c,unkown,error,Protein FDR Confidence,Master,Accession,Description,Exp. q-value,Sum PEP Score,Coverage,# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Modifications,Entrez Gene ID,Ensembl Gene ID,Gene ID,Chromosome,Biological Process,Cellular Component,Molecular Function,Pfam IDs,emPAI,Score Sequest HT,# Peptides Sequest HT
False,,,,,,High,Master Protein,P35579,Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4,0.0,668.300139138212,57.2448979591837,131,184,121,1,1960,226.392,5.6,,4627,ENSG00000100345.20,MYH9,22,cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus,catalytic activity;motor activity;nucleotide binding;protein binding;RNA binding;transporter activity,"Pf00063, Pf01442, Pf01496, Pf01576, Pf01765, Pf02736, Pf03962, Pf04111, Pf04156, Pf05911, Pf06637, Pf07888, Pf09731, Pf11068, Pf11559, Pf12128, Pf13094",21.729,593.326854467392,131
False,,,,,,High,Master Protein,P08670,Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4,0.0,402.728558550846,81.3304721030043,61,128,56,1,466,53.619,5.12,,7431,ENSG00000026025.15,VIM,10,cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus,cytoplasm;cytoskeleton;cytosol;membrane,protein binding;RNA binding;structural molecule activity,"Pf00038, Pf04111, Pf04156, Pf04732, Pf05622, Pf10186",1402.004,407.959466457367,61
False,,,,,,High,Master Protein,P21333,Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4,0.0,327.019877643031,49.9811106913487,84,104,84,1,2647,280.564,6.06,,2316,ENSG00000196924.14,FLNA,X,cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus,protein binding;RNA binding;signal transducer activity,"Pf00307, Pf00630",3.549,334.900372743607,84
False,,,,,,High,Master Protein,Q9Y490,Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3,0.0,299.509157423008,48.3667847304211,76,90,76,1,2541,269.599,6.07,,7094,ENSG00000137076.20,TLN1,9,cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus;transport,cell surface;cytoplasm;cytoskeleton;cytosol;extracellular;membrane,protein binding;structural molecule activity,"Pf00373, Pf01608, Pf02174, Pf08913, Pf09141, Pf09379",2.605,295.497142195702,76
False,,,,,,High,Master Protein,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1",0.0,285.601273248078,75.7333333333333,38,84,19,1,375,41.71,5.48,,60,ENSG00000075624.13,ACTB,7,cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus,cytoplasm;cytoskeleton;cytosol;membrane;nucleus,DNA binding;nucleotide binding;protein binding;structural molecule activity,Pf00022,817.547,288.221430420876,38
False,,,,,,High,Master Protein,P14618,Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4,0.0,251.800933990594,79.4726930320151,50,77,50,1,531,57.9,7.84,,5315,ENSG00000067225.17,PKM,15,cell death;cell organization and biogenesis;metabolic process;response to stimulus;transport,cytoplasm;cytosol;extracellular;mitochondrion;nucleus;organelle lumen,catalytic activity;metal ion binding;nucleotide binding;protein binding;RNA binding,"Pf00224, Pf02887",92.966,244.543432712555,50
False,,,,,,High,Master Protein,Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2,0.0,246.540719706342,42.0543293718166,84,94,84,1,5890,628.699,6.15,,79026,ENSG00000124942.13,AHNAK,11,cell organization and biogenesis;regulation of biological process,cytoplasm;cytoskeleton;cytosol;membrane;nucleus,protein binding;RNA binding;structural molecule activity,,0.601,255.779878020287,84
False,,,,,,High,Master Protein,P06733,Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2,0.0,229.105201339526,91.4746543778802,46,72,40,1,434,47.139,7.39,,2023,ENSG00000074800.13,ENO1,1,metabolic process;regulation of biological process;response to stimulus,cell surface;cytoplasm;cytosol;membrane;nucleus,catalytic activity;DNA binding;metal ion binding;protein binding;RNA binding,"Pf00113, Pf03952, Pf13378",136.382,230.841292142868,46
False,,,,,,High,Master Protein,O43707,Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2,0.0,225.9692091061,67.5082327113063,57,73,40,1,911,104.788,5.44,,81,ENSG00000282844.1; ENSG00000130402.11,ACTN4,19; CHR_HG26_PATCH,cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;cytosol;extracellular;nucleus;organelle lumen,DNA binding;metal ion binding;protein binding;RNA binding,"Pf00307, Pf00435, Pf08726, Pf11971, Pf13499",11.005,218.455282688141,57
False,,,,,,High,Master Protein,P13639,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,0.0,219.923693474968,62.8205128205128,47,70,47,1,858,95.277,6.83,,1938,ENSG00000167658.15,EEF2,19,cell differentiation;cell proliferation;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;extracellular;membrane;nucleus;organelle lumen;ribosome,catalytic activity;nucleotide binding;protein binding;RNA binding,"Pf00009, Pf00679, Pf03144, Pf03764, Pf14492",13.065,204.344886541367,47
